Gene,LDC.Phenotype,Fitness_Score_LDC,Description,Gene.symbol,P.Value,FDR,log2(_rpaA/WT).Microarray,*Direct_target_of_RpaA?,***Essential_in_CLC
Synpcc7942_0041,ND (below stat. threshold of conf.),0.170,Probable transport protein,N/A,5.28E-03,1.89E-02,-0.248084185,No,non-essential
Synpcc7942_0042,ND (below stat. threshold of conf.),-0.051,50S ribosomal protein L28,N/A,8.24E-01,8.89E-01,-0.184135638,No,non-essential
Synpcc7942_0043,ND (below stat. threshold of conf.),-0.017,Uncharacterized protein,N/A,8.86E-01,9.27E-01,-0.008033001,No,non-essential
Synpcc7942_0044,ND (below stat. threshold of conf.),-0.133,Uncharacterized protein,N/A,1.13E-02,3.60E-02,0.141971682,No,non-essential
Synpcc7942_0045,ND (below stat. threshold of conf.),0.020,TPR repeat,N/A,7.78E-01,8.57E-01,-0.257137135,No,non-essential
Synpcc7942_0046,ND (below stat. threshold of conf.),-0.084,Methylase involved in ubiquinone/menaquinone biosynthesis-like,N/A,4.70E-01,6.15E-01,0.085631305,No,non-essential
Synpcc7942_0047,ND (below stat. threshold of conf.),-0.167,TPR repeat,N/A,5.44E-03,1.94E-02,0.210192811,No,non-essential
Synpcc7942_0048,Not analyzed,,pilin polypeptide PilA-like,N/A,,,-0.145234104,No,not_analyzed
Synpcc7942_0049,ND (below stat. threshold of conf.),-0.294,Pilin polypeptide PilA-like,N/A,3.49E-01,5.03E-01,-0.165226748,No,not_analyzed
Synpcc7942_0050,ND (below stat. threshold of conf.),-0.214,Uncharacterized protein,N/A,7.89E-02,1.69E-01,-0.181355286,No,non-essential
Synpcc7942_0051,ND (below stat. threshold of conf.),-0.346,TPR repeat,N/A,4.02E-03,1.51E-02,-0.243838798,No,non-essential
Synpcc7942_0052,ND (below stat. threshold of conf.),0.365,Uncharacterized protein,N/A,3.06E-01,4.59E-01,-0.235662155,No,non-essential
Synpcc7942_0053,ND (below stat. threshold of conf.),-0.328,Uncharacterized protein,N/A,1.36E-01,2.57E-01,-0.122771115,No,non-essential
Synpcc7942_0054,ND (below stat. threshold of conf.),0.099,Uncharacterized protein,N/A,5.92E-01,7.16E-01,-0.101721588,No,non-essential
Synpcc7942_0055,ND (below stat. threshold of conf.),-0.220,Uncharacterized protein,N/A,4.84E-01,6.24E-01,-0.346140719,No,non-essential
Synpcc7942_0056,ND (below stat. threshold of conf.),-0.164,Perosamine synthetase,N/A,3.54E-01,5.07E-01,-0.253175056,No,non-essential
Synpcc7942_0057,ND (below stat. threshold of conf.),0.008,Putative C-3 methyl transferase,N/A,9.15E-01,9.46E-01,-0.089881546,No,non-essential
Synpcc7942_0058,ND (below stat. threshold of conf.),-0.072,"dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)",N/A,4.78E-01,6.20E-01,-0.245934719,No,non-essential
Synpcc7942_0059,Increase,1.305,Uncharacterized protein,N/A,2.01E-06,1.56E-05,-0.082269861,No,non-essential
Synpcc7942_0060,ND (below stat. threshold of conf.),-0.103,Uncharacterized protein,N/A,6.42E-01,7.53E-01,-0.169685368,No,non-essential
Synpcc7942_0061,ND (below stat. threshold of conf.),-0.050,"CDP-glucose 4,6-dehydratase",N/A,4.60E-01,6.07E-01,-0.114277157,No,non-essential
Synpcc7942_0062,ND (below stat. threshold of conf.),-0.195,Glucose-1-phosphate cytidylyltransferase,N/A,2.59E-01,4.04E-01,-0.263570847,No,non-essential
Synpcc7942_0063,ND (below stat. threshold of conf.),0.017,Dual specificity protein phosphatase,N/A,9.07E-01,9.42E-01,-0.11253366,No,non-essential
Synpcc7942_0064,ND (below stat. threshold of conf.),-0.303,Uncharacterized protein,N/A,8.07E-02,1.72E-01,-0.091134012,No,non-essential
Synpcc7942_0065,Not analyzed,,translation initiation factor IF-3,infC,,,-0.551046032,Yes,essential
Synpcc7942_0066,ND (below stat. threshold of conf.),-0.078,Uncharacterized protein,N/A,1.97E-01,3.37E-01,0.033353397,No,non-essential
Synpcc7942_0067,ND (below stat. threshold of conf.),-0.024,Probable permease protein of ABC transporter,N/A,7.68E-01,8.49E-01,0.255131828,No,non-essential
Synpcc7942_0068,ND (below stat. threshold of conf.),-0.034,ATPase,N/A,6.45E-01,7.55E-01,0.111067048,No,non-essential
Synpcc7942_0069,Moderate increase,0.691,Uncharacterized protein,N/A,1.23E-06,1.00E-05,-0.581919868,No,non-essential
Synpcc7942_0070,ND (below stat. threshold of conf.),-0.231,Uncharacterized protein,N/A,4.10E-02,1.01E-01,0.022004406,No,non-essential
Synpcc7942_0071,Not analyzed,,pleiotropic regulatory protein-like,degT,,,0.367985775,No,essential
Synpcc7942_0072,ND (below stat. threshold of conf.),-0.344,Uncharacterized protein,N/A,8.89E-03,2.97E-02,0.319658069,No,non-essential
Synpcc7942_0073,Not analyzed,,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,"lytB, ispH",,,0.289808644,No,essential
Synpcc7942_0074,Negligible/minor,-0.336,Uncharacterized protein,N/A,9.75E-04,4.64E-03,0.383405792,No,non-essential
Synpcc7942_0075,ND (below stat. threshold of conf.),-0.174,Aminopeptidase P. Metallo peptidase. MEROPS family M24B (EC 3.4.11.9),N/A,2.80E-01,4.28E-01,0.213518226,No,beneficial
Synpcc7942_0076,ND (below stat. threshold of conf.),-0.101,"Extracellular solute-binding protein, family 3",N/A,3.91E-01,5.43E-01,-0.089661029,No,non-essential
Synpcc7942_0077,ND (below stat. threshold of conf.),-0.415,"Transcriptional regulator, XRE family",N/A,5.37E-03,1.92E-02,0.165960232,No,non-essential
Synpcc7942_0078,ND (below stat. threshold of conf.),-0.249,Uncharacterized protein,N/A,6.96E-03,2.42E-02,-0.03922548,No,non-essential
Synpcc7942_0079,Not analyzed,,conserved hypothetical protein YCF41,ycf41,,,-0.029450928,No,essential
Synpcc7942_0080,Negligible/minor,-0.310,Probable ABC transporter permease protein,N/A,1.41E-05,9.81E-05,0.272272139,No,non-essential
Synpcc7942_0081,ND (below stat. threshold of conf.),-0.349,RNA-binding S4,N/A,1.30E-01,2.48E-01,0.078485586,No,non-essential
Synpcc7942_0082,Not analyzed,,ATPase,mdlB,,,0.386141786,No,essential
Synpcc7942_0083,ND (below stat. threshold of conf.),0.349,Orf4; Method: conceptual translation supplied by author (Uncharacterized protein),N/A,9.46E-02,1.95E-01,-0.016827438,No,non-essential
Synpcc7942_0084,ND (below stat. threshold of conf.),-0.114,Orf5; Method: conceptual translation supplied by author (Uncharacterized protein),N/A,2.27E-01,3.70E-01,0.011444846,No,non-essential
Synpcc7942_0085,Negligible/minor,-0.375,"HAD-superfamily hydrolase subfamily IA, variant 3",N/A,1.00E-03,4.72E-03,-0.334206446,No,non-essential
Synpcc7942_0086,Decrease,-1.203,Glycogen operon protein GlgX homolog (EC 3.2.1.-),glgX,6.38E-59,1.09E-56,-0.574662054,No,non-essential
Synpcc7942_0087,Moderate increase,0.842,Uncharacterized protein,N/A,4.53E-39,3.54E-37,0.142544667,No,non-essential
Synpcc7942_0088,ND (below stat. threshold of conf.),-0.231,Uncharacterized protein,N/A,9.20E-03,3.06E-02,-0.027583328,No,non-essential
Synpcc7942_0089,Negligible/minor,-0.337,Carboxymethylenebutenolidase (EC 3.1.1.45),N/A,6.51E-04,3.29E-03,0.474438341,No,non-essential
Synpcc7942_0090,Not analyzed,,"transcriptional regulator, GntR family",N/A,,,0.163472657,No,essential
Synpcc7942_0091,Not analyzed,,conserved hypothetical protein YCF21,ycf21,,,0.319420436,No,essential
Synpcc7942_0092,Decrease,-1.141,Uncharacterized protein,N/A,6.48E-12,9.34E-11,0.649111615,No,non-essential
Synpcc7942_0093,Not analyzed,,Thymidylate kinase,tmk,,,0.135376111,No,essential
Synpcc7942_0094,Not analyzed,,DNA polymerase III subunit delta',"dnaX, dnaZ",,,0.253904121,No,essential
Synpcc7942_0095,Moderate decrease,-0.666,"Two component transcriptional regulator, winged helix family",rpaA,1.01E-08,1.07E-07,-4.205016968,Yes,non-essential
Synpcc7942_0096,ND (below stat. threshold of conf.),-0.349,Uncharacterized protein,N/A,1.26E-02,3.97E-02,-0.19341218,No,non-essential
Synpcc7942_0097,Not analyzed,,cobaltochelatase,cobN,,,0.109541998,No,essential
Synpcc7942_0098,Not analyzed,,pyruvate kinase,"pyk2, pykF, pyk",,,0.038939265,No,essential
Synpcc7942_0099,ND (below stat. threshold of conf.),0.014,Uncharacterized protein,N/A,8.86E-01,9.27E-01,0.136592507,No,non-essential
Synpcc7942_0100,ND (below stat. threshold of conf.),-0.138,Uncharacterized protein,N/A,1.48E-01,2.74E-01,-1.057102546,Yes,non-essential
Synpcc7942_0101,Not analyzed,,type 2 NADH dehydrogenase,ndbA,,,0.061245928,Yes,essential
Synpcc7942_0102,ND (below stat. threshold of conf.),0.095,Uncharacterized protein,N/A,7.24E-01,8.12E-01,-0.18323259,Yes,non-essential
Synpcc7942_0103,ND (below stat. threshold of conf.),0.043,Ankyrin,N/A,8.94E-01,9.33E-01,0.085311921,No,non-essential
Synpcc7942_0104,ND (below stat. threshold of conf.),-0.156,Uncharacterized protein,N/A,1.25E-01,2.43E-01,0.10508933,No,non-essential
Synpcc7942_0105,Not analyzed,,NAD synthetase,"nadE, adgA",,,-0.002922577,No,essential
Synpcc7942_0106,Not analyzed,,nicotinic acid mononucleotide adenyltransferase,nadD,,,0.115856046,No,beneficial
Synpcc7942_0107,Not analyzed,,Small GTP-binding protein domain,N/A,,,0.19823893,No,essential
Synpcc7942_0108,ND (below stat. threshold of conf.),0.017,Sulfiredoxin (EC 1.8.98.2),N/A,9.34E-01,9.58E-01,0.323967293,No,non-essential
Synpcc7942_0109,ND (below stat. threshold of conf.),-0.026,DNA-binding ferritin-like protein (Oxidative damage protectant)-like,N/A,8.37E-01,8.98E-01,-0.243345232,No,non-essential
Synpcc7942_0110,ND (below stat. threshold of conf.),-0.317,"Transcriptional regulator, XRE family",N/A,4.55E-03,1.66E-02,-0.043085589,No,non-essential
Synpcc7942_0111,ND (below stat. threshold of conf.),-0.232,DnaK protein-like,N/A,5.99E-03,2.11E-02,-0.281739356,No,non-essential
Synpcc7942_0112,ND (below stat. threshold of conf.),-0.122,Deoxyribodipyrimidine photo-lyase type I (EC 4.1.99.3),N/A,5.34E-02,1.26E-01,0.030006218,No,non-essential
Synpcc7942_0113,ND (below stat. threshold of conf.),-0.033,Uncharacterized protein,N/A,9.39E-01,9.62E-01,0.051644278,No,non-essential
Synpcc7942_0114,ND (below stat. threshold of conf.),-0.059,Uncharacterized protein,N/A,7.00E-01,7.95E-01,0.375398306,No,non-essential
Synpcc7942_0115,ND (below stat. threshold of conf.),-0.122,Uncharacterized protein,N/A,2.19E-01,3.61E-01,0.087128082,No,non-essential
Synpcc7942_0116,ND (below stat. threshold of conf.),0.033,Fructokinase,N/A,6.97E-01,7.92E-01,0.171454343,No,non-essential
Synpcc7942_0117,ND (below stat. threshold of conf.),0.292,Thiol methyltransferase 1-like,N/A,1.28E-01,2.45E-01,-0.062084959,No,non-essential
Synpcc7942_0118,Not analyzed,,aspartyl/glutamyl-tRNA amidotransferase subunit B,"gatB, pet112",,,-0.061913088,No,essential
Synpcc7942_0119,ND (below stat. threshold of conf.),0.141,Uncharacterized protein,N/A,2.60E-01,4.06E-01,0.243127914,No,non-essential
Synpcc7942_0120,ND (below stat. threshold of conf.),0.168,Cytosine/adenosine deaminases-like,N/A,8.71E-02,1.83E-01,0.686991752,No,non-essential
Synpcc7942_0121,Not analyzed,,hypothetical protein,N/A,,,0.067710853,No,essential
Synpcc7942_0122,ND (below stat. threshold of conf.),-0.176,EAL,N/A,1.92E-01,3.33E-01,-0.097864819,No,non-essential
Synpcc7942_0123,ND (below stat. threshold of conf.),-0.145,Uncharacterized protein,N/A,6.19E-01,7.35E-01,-0.026703631,No,non-essential
Synpcc7942_0124,ND (below stat. threshold of conf.),-0.041,Thiol methyltransferase 1-like,N/A,6.19E-01,7.35E-01,-0.009016799,No,non-essential
Synpcc7942_0125,Not analyzed,,imidazoleglycerol-phosphate dehydratase,hisB,,,0.226719312,No,essential
Synpcc7942_0126,Not analyzed,,enoyl-(acyl carrier protein) reductase,"envM, fabI",,,0.269885523,No,essential
Synpcc7942_0127,Not analyzed,,"transcriptional regulator, Crp/Fnr family",ntcA,,,0.556345421,No,essential
Synpcc7942_0128,Negligible/minor,-0.480,Uncharacterized protein,N/A,7.25E-04,3.62E-03,-0.068266609,No,beneficial
Synpcc7942_0129,ND (below stat. threshold of conf.),-0.256,Putative pre-16S rRNA nuclease (EC 3.1.-.-),N/A,2.60E-01,4.06E-01,0.144285063,No,beneficial
Synpcc7942_0130,ND (below stat. threshold of conf.),-0.084,Uncharacterized protein,N/A,5.11E-01,6.48E-01,-0.472826357,No,non-essential
Synpcc7942_0131,ND (below stat. threshold of conf.),-0.178,Cyclic nucleotide-binding domain (CNMP-BD) protein,N/A,3.13E-02,8.25E-02,-0.105611724,No,non-essential
Synpcc7942_0132,ND (below stat. threshold of conf.),-0.041,Uncharacterized protein,N/A,4.95E-01,6.34E-01,0.316360289,No,non-essential
Synpcc7942_0133,ND (below stat. threshold of conf.),-0.037,Uncharacterized protein,N/A,6.01E-01,7.24E-01,-0.085010114,No,non-essential
Synpcc7942_0134,Not analyzed,,hypothetical protein,N/A,,,0.261504624,No,essential
Synpcc7942_0135,ND (below stat. threshold of conf.),-0.031,Methylase involved in ubiquinone/menaquinone biosynthesis-like,N/A,6.73E-01,7.73E-01,0.010523105,No,non-essential
Synpcc7942_0136,ND (below stat. threshold of conf.),0.091,Phage integrase,N/A,1.80E-01,3.16E-01,-0.01008534,No,non-essential
Synpcc7942_0137,Not analyzed,,ferrochelatase,hemH,,,0.002807345,No,essential
Synpcc7942_0138,ND (below stat. threshold of conf.),0.153,"Membrane proteins, metalloendopeptidases-like",N/A,1.45E-01,2.70E-01,0.001863795,No,non-essential
Synpcc7942_0139,Not analyzed,,acetolactate synthase 3 catalytic subunit,ilvB,,,-0.347872361,No,essential
Synpcc7942_0140,ND (below stat. threshold of conf.),-0.116,Uncharacterized protein,N/A,4.73E-01,6.16E-01,-0.053121929,No,non-essential
Synpcc7942_0141,Not analyzed,,preprotein translocase subunit SecF,secF,,,0.019866365,No,essential
Synpcc7942_0142,Not analyzed,,preprotein translocase subunit SecD,secD,,,0.062747973,No,essential
Synpcc7942_0143,Not analyzed,,pyruvate/2-oxoglutarate dehydrogenase complex dehydrogenase (E1) component,"pdhB, acoB",,,-0.3634591,No,essential
Synpcc7942_0144,ND (below stat. threshold of conf.),-0.131,Uncharacterized protein,N/A,2.26E-01,3.69E-01,0.329651835,No,non-essential
Synpcc7942_0145,Not analyzed,,hypothetical protein,N/A,,,0.10721177,No,ambiguous
Synpcc7942_0146,ND (below stat. threshold of conf.),0.165,Uncharacterized protein,N/A,6.83E-02,1.51E-01,0.346155736,No,non-essential
Synpcc7942_0147,ND (below stat. threshold of conf.),-0.055,Uncharacterized protein,N/A,5.57E-01,6.89E-01,-0.062652063,No,non-essential
Synpcc7942_0148,ND (below stat. threshold of conf.),-0.524,Uncharacterized protein,N/A,1.86E-01,3.23E-01,-0.326585732,No,beneficial
Synpcc7942_0149,ND (below stat. threshold of conf.),-0.004,Methylated-DNA--protein-cysteine methyltransferase,N/A,9.65E-01,9.78E-01,0.10935276,No,non-essential
Synpcc7942_0150,Negligable/minor,-0.395,Dolichyl-phosphate beta-D-mannosyltransferase (EC 2.4.1.83),N/A,4.76E-05,2.97E-04,0.199941208,No,beneficial
Synpcc7942_0151,ND (below stat. threshold of conf.),-0.043,Response regulator receiver modulated diguanylate cyclase,N/A,4.53E-01,6.01E-01,-0.096815885,No,non-essential
Synpcc7942_0152,Not analyzed,,phospho-N-acetylmuramoyl-pentapeptide- transferase,mraY,,,0.179910329,No,essential
Synpcc7942_0153,Not analyzed,,hypothetical protein,N/A,,,0.611636257,No,essential
Synpcc7942_0154,ND (below stat. threshold of conf.),-0.136,Uncharacterized protein,N/A,1.48E-01,2.74E-01,0.101479215,No,non-essential
Synpcc7942_0155,ND (below stat. threshold of conf.),-0.184,Uncharacterized protein,N/A,3.09E-01,4.63E-01,0.21294161,No,non-essential
Synpcc7942_0156,Decrease,-1.113,Phosphoglucomutase,pgmt,1.13E-10,1.46E-09,0.239780333,Yes,beneficial
Synpcc7942_0157,ND (below stat. threshold of conf.),-0.089,Uncharacterized protein,N/A,4.93E-01,6.32E-01,-1.613585313,Yes,non-essential
Synpcc7942_0158,Not analyzed,,hypothetical protein,moeB,,,0.000166344,No,essential
Synpcc7942_0159,ND (below stat. threshold of conf.),-0.091,Mov34/MPN/PAD-1,N/A,4.25E-01,5.77E-01,-0.035194312,No,non-essential
Synpcc7942_0160,Not analyzed,,GTP-binding protein Era,era,,,-0.100918136,No,essential
Synpcc7942_0161,Not analyzed,,hypothetical protein,N/A,,,0.270405944,No,essential
Synpcc7942_0162,ND (below stat. threshold of conf.),0.157,Uncharacterized protein,N/A,1.66E-01,2.95E-01,0.390358485,No,non-essential
Synpcc7942_0163,Negligable/minor,-0.320,Uncharacterized protein,N/A,2.81E-04,1.52E-03,0.168763613,No,non-essential
Synpcc7942_0164,ND (below stat. threshold of conf.),-0.006,Ribosomal silencing factor RsfS,N/A,9.65E-01,9.78E-01,-0.064991877,No,non-essential
Synpcc7942_0165,ND (below stat. threshold of conf.),-0.154,Uncharacterized protein,N/A,1.80E-01,3.15E-01,-0.122925287,No,non-essential
Synpcc7942_0166,ND (below stat. threshold of conf.),-0.023,Uncharacterized protein,N/A,7.64E-01,8.46E-01,-0.121033208,No,beneficial
Synpcc7942_0167,ND (below stat. threshold of conf.),0.016,Uncharacterized protein,N/A,9.14E-01,9.46E-01,-0.052081462,No,non-essential
Synpcc7942_0168,Increase,1.477,Uncharacterized protein,N/A,8.48E-22,2.78E-20,0.180879569,No,non-essential
Synpcc7942_0169,ND (below stat. threshold of conf.),-0.061,"Glutamate-ammonia ligase, glutamine synthetase type III",N/A,2.40E-01,3.85E-01,-0.042872869,No,non-essential
Synpcc7942_0170,ND (below stat. threshold of conf.),-0.276,Uncharacterized protein,N/A,1.91E-01,3.30E-01,-0.294564436,Yes,non-essential
Synpcc7942_0171,ND (below stat. threshold of conf.),0.137,Cysteine synthase,N/A,1.09E-01,2.20E-01,0.019939989,Yes,non-essential
Synpcc7942_0172,ND (below stat. threshold of conf.),-0.320,Uncharacterized protein,N/A,1.29E-01,2.47E-01,-0.150958626,Yes,non-essential
Synpcc7942_0173,ND (below stat. threshold of conf.),-0.012,3'-Phosphoadenosine 5'-phosphosulfate (PAPS) 3'-phosphatase-like,N/A,8.78E-01,9.24E-01,-0.022870196,No,non-essential
Synpcc7942_0174,ND (below stat. threshold of conf.),0.102,Ribosomal RNA small subunit methyltransferase I (EC 2.1.1.198) (16S rRNA 2'-O-ribose C1402 methyltransferase) (rRNA (cytidine-2'-O-)-methyltransferase RsmI),N/A,1.99E-01,3.40E-01,0.179369829,No,non-essential
Synpcc7942_0175,Not analyzed,,hypothetical protein,N/A,,,0.186436183,No,essential
Synpcc7942_0176,ND (below stat. threshold of conf.),0.111,Uncharacterized protein,N/A,4.31E-01,5.82E-01,-0.202765913,No,non-essential
Synpcc7942_0177,Negligable/minor,-0.356,ABC-type uncharacterized transport system permease component-like,N/A,6.24E-04,3.18E-03,0.44452002,No,non-essential
Synpcc7942_0178,ND (below stat. threshold of conf.),-0.111,ATPase,N/A,2.20E-01,3.62E-01,0.152071511,No,non-essential
Synpcc7942_0179,ND (below stat. threshold of conf.),0.028,Secretion chaperone CsaA,N/A,8.78E-01,9.24E-01,0.152713986,No,non-essential
Synpcc7942_0180,ND (below stat. threshold of conf.),-0.253,Uncharacterized protein,N/A,3.12E-01,4.66E-01,-0.602793829,No,non-essential
Synpcc7942_0181,Not analyzed,,ATPase,N/A,,,-0.511028006,No,essential
Synpcc7942_0182,ND (below stat. threshold of conf.),0.120,Uncharacterized protein,N/A,4.04E-01,5.57E-01,0.108560645,No,non-essential
Synpcc7942_0183,ND (below stat. threshold of conf.),0.131,Uncharacterized protein,N/A,2.08E-01,3.50E-01,0.132104652,No,non-essential
Synpcc7942_0184,Moderate decrease,-0.603,Phosphate transporter,N/A,1.69E-19,4.40E-18,0.170826782,No,non-essential
Synpcc7942_0185,Negligable/minor,0.431,Gamma-glutamyltransferase. Threonine peptidase. MEROPS family T03,N/A,2.22E-10,2.79E-09,0.029824554,No,non-essential
Synpcc7942_0186,ND (below stat. threshold of conf.),-0.179,Possible DNA polymerase,N/A,1.64E-01,2.93E-01,-0.036631147,No,non-essential
Synpcc7942_0187,Not analyzed,,hypothetical protein,N/A,,,0.138609131,No,beneficial
Synpcc7942_0188,ND (below stat. threshold of conf.),-0.078,Diguanylate cyclase/phosphodiesterase (GGDEF & EAL domains) with PAS/PAC sensor(S),N/A,1.47E-01,2.74E-01,0.73684809,No,non-essential
Synpcc7942_0189,Not analyzed,,bifunctional GMP synthase/glutamine amidotransferase protein,guaA,,,-0.082962617,No,essential
Synpcc7942_0190,Not analyzed,,cobalt-precorrin-6A synthase,cbiD,,,-0.119639345,No,essential
Synpcc7942_0191,Not analyzed,,Serine--glyoxylate transaminase,N/A,,,0.633334191,No,essential
Synpcc7942_0192,Increase,1.125,Uncharacterized protein,N/A,2.02E-08,2.08E-07,-0.211079623,No,non-essential
Synpcc7942_0193,ND (below stat. threshold of conf.),0.532,Uncharacterized protein,N/A,1.33E-02,4.17E-02,0.031647643,No,non-essential
Synpcc7942_0194,Not analyzed,,DNA polymerase I,polA,,,-0.008593162,No,ambiguous
Synpcc7942_0195,Moderate decrease,-0.786,Uncharacterized protein,N/A,3.82E-08,3.82E-07,0.348301468,No,non-essential
Synpcc7942_0196,Negligable/minor,0.215,"Beta-carotene 15,15'-dioxygenase (EC 1.14.99.36)",N/A,2.39E-03,9.90E-03,0.139778271,No,non-essential
Synpcc7942_0197,Negligable/minor,-0.354,Folate/biopterin transporter,N/A,4.74E-05,2.97E-04,0.502046346,No,non-essential
Synpcc7942_0198,ND (below stat. threshold of conf.),0.067,Type 2 NADH dehydrogenase,N/A,1.99E-01,3.40E-01,-0.716490085,No,non-essential
